"filename", "language", "JavaScript", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\passport-config.js", "JavaScript", 35, 0, 0, 0, 7, 9, 51
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\readme.md", "Markdown", 0, 31, 0, 0, 0, 14, 45
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\routers\appRouter.js", "JavaScript", 84, 0, 0, 0, 2, 11, 97
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\routers\paystack.router.js", "JavaScript", 17, 0, 0, 0, 0, 4, 21
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\routers\router.js", "JavaScript", 44, 0, 0, 0, 4, 7, 55
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\routers\search_router.js", "JavaScript", 7, 0, 0, 0, 0, 6, 13
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\tt.js", "JavaScript", 9, 0, 0, 0, 12, 4, 25
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\utils\404.js", "JavaScript", 57, 0, 0, 0, 0, 8, 65
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\utils\currency.js", "JavaScript", 4, 0, 0, 0, 0, 0, 4
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\utils\generate_acess_code.js", "JavaScript", 6, 0, 0, 0, 0, 0, 6
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\utils\password.js", "JavaScript", 38, 0, 0, 0, 6, 5, 49
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\utils\paystack.js", "JavaScript", 9, 0, 0, 0, 1, 2, 12
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\utils\refineSearch.js", "JavaScript", 23, 0, 0, 0, 7, 4, 34
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\utils\sendmail.js", "JavaScript", 63, 0, 0, 0, 7, 9, 79
"Total", "-", 1844, 31, 2405, 17, 406, 411, 5114
